nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,mesh_term,downcase_mesh_term,intervention_type,intervention_name,description,intervention_count,status,facility_name,city,state,zip,country,site_count
"ClinicalTrials.gov processed this data on April 17, 2020",2020-04-07,NA,NA,2020-04-07,2020-04-07,2020-04-10,Actual,NA,NA,NA,NA,NA,NA,2020-04-07,2020-04-10,Actual,April 2020,Anticipated,2020-04-30,April 2020,2020-04-30,August 2020,Anticipated,2020-08-31,August 2020,Anticipated,2020-08-31,NA,Observational,BIOCOVU,,Predictive Biomarkers of Secondary Aggravation in Covid-19 Suspect Patient,Predictive Biomarkers of Secondary Aggravation in Covid-19 Suspect Patient Admitted to Emergency Departments During an Epidemic,Not yet recruiting,NA,NA,1000,Anticipated,"University Hospital, Lille",,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-20T08:49:51Z,2020-04-20T08:49:51Z,5057349,NCT04341792,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 17, 2020",2020-04-07,NA,NA,2020-04-07,2020-04-07,2020-04-10,Actual,NA,NA,NA,NA,NA,NA,2020-04-07,2020-04-10,Actual,"April 9, 2020",Anticipated,2020-04-09,April 2020,2020-04-30,"December 31, 2021",Anticipated,2021-12-31,"November 30, 2020",Anticipated,2020-11-30,NA,Observational,BURDENCOV,,"Psychological Burden in ICU Survivors of Severe COVID-19 Pneumonia, Their Relatives and Their Healthcare Providers","""Psychological Burden in ICU Survivors of Severe COVID-19 Pneumonia, Their Relatives and Their Healthcare Providers"" ""Impact Psychologique de l'Ã©pidÃ©mie COVID-19 Chez Les Patients, Familles et Soignants de Reanimation"" ""BURDENCOV""",Not yet recruiting,NA,NA,1464,Anticipated,Assistance Publique - HÃ´pitaux de Paris,,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-20T08:50:00Z,2020-04-20T08:50:00Z,5057385,NCT04341519,Coronavirus Infections,coronavirus infections,Behavioral|Behavioral,PTSD|Burnout,"family members: post-traumatic stress disorder (PTSD) related symptoms assessed by Impact of Event Scale Revised (IES-R) at 90 days
Patients:
post-traumatic stress disorder (PTSD) related symptoms assessed by Impact of Event Scale Revised (IES-R) at 90 days|Symptoms of burnout as assessed by the Maslash Burnout Inventory",2,,Saint-Louis Hospital,Paris,Ile De France,75010,France,1
"ClinicalTrials.gov processed this data on April 17, 2020",2020-03-26,NA,NA,2020-04-09,2020-03-27,2020-03-30,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-10,Actual,"March 20, 2020",Actual,2020-03-20,April 2020,2020-04-30,"September 1, 2020",Anticipated,2020-09-01,"July 1, 2020",Anticipated,2020-07-01,NA,Observational,NA,,Proflaxis Using Hydroxychloroquine Plus Vitamins-Zinc During COVID-19 Pandemia,"Proflaxis for Healthcare Professionals Using Hydroxychloroquine Plus Vitamin Combining Vitamins C, D and Zinc During COVID-19 Pandemia: An Observational Study",Recruiting,NA,NA,80,Anticipated,Istinye University,,NA,1,NA,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,,NA,NA,NA,NA,NA,2020-04-20T08:51:32Z,2020-04-20T08:51:32Z,5057678,NCT04326725,Coronavirus Infections,coronavirus infections,Drug,Plaquenil 200Mg Tablet,health workers under risk who took this medications,1,Recruiting,Istinye University Medical School,Istanbul,,34010,Turkey,1
"ClinicalTrials.gov processed this data on April 17, 2020",2020-03-26,NA,NA,2020-04-09,2020-03-27,2020-03-30,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-10,Actual,"April 6, 2020",Actual,2020-04-06,April 2020,2020-04-30,"October 7, 2021",Anticipated,2021-10-07,"April 7, 2021",Anticipated,2021-04-07,NA,Observational,COVIDx,,Evaluation of Novel Diagnostic Tests for COVID-19,Evaluation of Novel Diagnostic Tests for 2019-nCOV,Recruiting,NA,NA,200,Anticipated,Cambridge University Hospitals NHS Foundation Trust,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      Throat/Nasal Swab, Nasopharyngeal Swab, Endotracheal tube aspirate and whole blood-serum for
      viral-RNA analysis
    ",NA,NA,NA,Undecided,NA,2020-04-20T08:51:32Z,2020-04-20T08:51:32Z,5057681,NCT04326387,Coronavirus Infections,coronavirus infections,Diagnostic Test|Diagnostic Test|Diagnostic Test|Diagnostic Test,SAMBA II (Diagnostic for the Real World)|Public Health England Gold Standard|Cambridge Validated Viral Detection Method|Radiological Detection,Point of care Isothermal-PCR Viral RNA Amplication for virus detection|Reverse Transcription PCR|Reverse Transcription PCR|Chest X-ray & CT Scan detection of viral infection in the lungs,4,Recruiting,Cambridge University Hospitals NHS Foundation Trust,Cambridge,Cambridgeshire,CB2 0QQ,United Kingdom,1
"ClinicalTrials.gov processed this data on April 17, 2020",2020-01-26,NA,NA,2020-04-09,2020-01-26,2020-01-29,Actual,NA,NA,NA,NA,NA,NA,2020-04-09,2020-04-10,Actual,"January 1, 2020",Actual,2020-01-01,April 2020,2020-04-30,"December 31, 2020",Anticipated,2020-12-31,"December 31, 2020",Anticipated,2020-12-31,NA,Observational,NA,,"Development of a Simple, Fast and Portable Recombinase Aided Amplification Assay for 2019-nCoV","Development of a Simple, Fast and Portable Recombinase Aided Amplification (RAA) Assay for 2019-nCoV",Recruiting,NA,NA,50,Anticipated,Beijing Ditan Hospital,,NA,1,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-20T08:53:29Z,2020-04-20T08:53:29Z,5058192,NCT04245631,Coronavirus Infections,coronavirus infections,Diagnostic Test,Recombinase aided amplification (RAA) assay,"We established a real time reverse-transcription RAA (RT-RAA) assay for detection of 2019-nCoV. This assay was performed at 42Â°C within 30min using a portable real-time fluorescence detector, Recombinant plasmids containing conserved ORF1ab genes was used to analyze the specificity and sensitivity. Clinical specimens from patients who were suspected of being infected with 2019-nCoV were used to evaluate the performance of the assay. In parallel, we also used the commercial RT-qPCR assay kit for 2019-nCoV as a reference. Sample types include either of nasal swab, oral swab, bronchoalveolar-lavage fluid, urea, blood, fecal.",1,Recruiting,"Department of Hepatology Division 2, Beijing Ditan Hospital",Beijing,Beijing,100015,China,1
"ClinicalTrials.gov processed this data on March 31, 2020",2020-03-17,NA,NA,2020-03-17,2020-03-17,2020-03-19,Actual,NA,NA,NA,NA,NA,NA,2020-03-17,2020-03-19,Actual,"March 23, 2020",Anticipated,2020-03-23,March 2020,2020-03-31,"December 31, 2021",Anticipated,2021-12-31,"December 31, 2021",Anticipated,2021-12-31,NA,Observational,COVID MECH,,Mechanisms to Morbidity and Mortality for Covid-19,"Changes in Organ Specific Biomarkers, Virus Expression and Prognosis for Covid-19",Not yet recruiting,NA,NA,200,Anticipated,"University Hospital, Akershus",,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-04-01T09:19:19Z,2020-04-01T09:19:19Z,4274145,NCT04314232,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on March 31, 2020",2020-02-06,NA,NA,2020-02-07,2020-02-07,2020-02-10,Actual,NA,NA,NA,NA,NA,NA,2020-02-07,2020-02-11,Actual,"February 7, 2020",Actual,2020-02-07,February 2020,2020-02-29,"August 7, 2023",Anticipated,2023-08-07,"August 7, 2020",Anticipated,2020-08-07,NA,Observational,CCP-nCoV,,Clinical Characterisation Protocol for Severe Emerging Infections,Clinical Characterisation Protocol for Severe Emerging Infections,Recruiting,NA,NA,500,Anticipated,"Institut National de la SantÃ© Et de la Recherche MÃ©dicale, France",,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Blood, urine, stool /rectal swab, respiratory samples (nose and throat swab, endotracheal
      aspirate, nasopharyngeal aspirate), samples from infected sites/sores, CSF
    ",NA,NA,NA,Undecided,NA,2020-04-01T09:25:58Z,2020-04-01T09:25:58Z,4280580,NCT04262921,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting|Recruiting|Recruiting|Recruiting,"CHU Pellegrin, service des Maladies Infectieuses et Tropicales|APHP La PitiÃ© SalpÃªtriÃ¨re, service des Maladies Infectieuses et Tropicales|APHP Bichat, Service de rÃ©animation mÃ©dicale et infectieuse|APHP Bichat, Service des Maladies Infectieuses et Tropicales",Bordeaux|Paris|Paris|Paris,|||,33075|75013|75018|75018,France|France|France|France,4
"ClinicalTrials.gov processed this data on April 09, 2020",2020-03-24,NA,NA,2020-03-28,2020-03-25,2020-03-26,Actual,NA,NA,NA,NA,NA,NA,2020-03-28,2020-03-31,Actual,"March 19, 2020",Actual,2020-03-19,March 2020,2020-03-31,"May 19, 2020",Anticipated,2020-05-19,"May 19, 2020",Anticipated,2020-05-19,NA,Observational,SISCO,,An Observational Case-control Study of the Use of Siltuximab in ARDS Patients Diagnosed With COVID-19 Infection,An Observational Case-control Study of the Use of Siltuximab (SYLVANT) in Patients Diagnosed With COVID-19 Infection Who Have Developed Serious Respiratory Complications,Recruiting,NA,NA,50,Anticipated,A.O. Ospedale Papa Giovanni XXIII,,NA,2,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-10T09:16:44Z,2020-04-10T09:16:44Z,4940219,NCT04322188,Coronavirus Infections,coronavirus infections,NA,NA,NA,NA,Recruiting,ASST - Papa Giovanni XXIII,Bergamo,,24127,Italy,1
"ClinicalTrials.gov processed this data on April 09, 2020",2020-03-23,NA,NA,2020-03-27,2020-03-23,2020-03-25,Actual,NA,NA,NA,NA,NA,NA,2020-03-27,2020-03-31,Actual,"March 27, 2020",Actual,2020-03-27,March 2020,2020-03-31,"March 20, 2030",Anticipated,2030-03-20,"March 27, 2022",Anticipated,2022-03-27,NA,Observational,NA,,Risk Factors for Community- and Workplace Transmission of COVID-19,Risk Factors for Community- and Workplace Transmission of COVID-19,Recruiting,NA,NA,50000,Anticipated,Oslo University Hospital,,NA,5,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Blood and upper repiratory samples will be collected from some participants.
    ",NA,NA,NA,No,"European GDPR regulations severely limits IPD, but the study will share data to the largest extent possible within GDPR.",2020-04-10T09:16:51Z,2020-04-10T09:16:51Z,4940261,NCT04320732,Coronavirus Infections,coronavirus infections,Behavioral,Observation of behavior and COVID-19 infection will be conducted.,"No intervention, only prospective observation of behavior will be conducted by a questionnaire.",1,Recruiting,Oslo University Hospital,Oslo,,0424,Norway,1
"ClinicalTrials.gov processed this data on April 09, 2020",2020-03-27,NA,NA,2020-03-30,2020-03-30,2020-03-31,Actual,NA,NA,NA,NA,NA,NA,2020-03-30,2020-03-31,Actual,"January 30, 2020",Actual,2020-01-30,March 2020,2020-03-31,"April 15, 2020",Anticipated,2020-04-15,"April 2, 2020",Anticipated,2020-04-02,NA,Observational,NA,,Clinical Characteristics and Prognostic Factors of Patients With COVID-19,Clinical Characteristics and Prognostic Factors of Patients With COVID-19 in Chibi Hospital of Hubei Province,Recruiting,NA,NA,120,Anticipated,Shanghai 10th People's Hospital,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-10T09:15:14Z,2020-04-10T09:15:14Z,4939855,NCT04328454,Coronavirus Infections,coronavirus infections,Other,retrospective analysis,The investigators retrospectively analyzed the hospitalized patients with COVID-19,1,Recruiting,Shanghai 10th People's Hospital,Shanghai,Shanghai,+86200072,China,1
