nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT04314271,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-16,NA,NA,2020-03-16,2020-03-16,2020-03-19,Actual,NA,NA,NA,NA,NA,NA,2020-03-16,2020-03-19,Actual,"March 20, 2020",Anticipated,2020-03-20,March 2020,2020-03-31,"May 31, 2020",Anticipated,2020-05-31,"May 1, 2020",Anticipated,2020-05-01,3 Weeks,Observational [Patient Registry],NA,,The Observational Study of Cardiac and Pulmonary Ultrasound and Evaluation of Treatment of Severe Patients With Novel Coronavirus Pneumonia,The Observational Study of Cardiac and Pulmonary Ultrasound and Evaluation of Treatment of Severe Patients With Novel Coronavirus Pneumonia,Recruiting,NA,NA,80,Anticipated,Xiangya Hospital of Central South University,,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,NA,NA,2020-10-01T09:54:05Z,2020-10-01T09:54:05Z
NCT04318314,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-17,NA,NA,2020-05-20,2020-03-19,2020-03-23,Actual,NA,NA,NA,NA,NA,NA,2020-05-20,2020-05-21,Actual,"March 18, 2020",Actual,2020-03-18,May 2020,2020-05-31,"December 31, 2021",Anticipated,2021-12-31,"December 31, 2020",Anticipated,2020-12-31,6 Months,Observational [Patient Registry],COVID19-HCW,,COVID-19: Healthcare Worker Bioresource: Immune Protection and Pathogenesis in SARS-CoV-2,COVID-19: Healthcare Worker Bioresource: Immune Protection and Pathogenesis in SARS-CoV-2,Recruiting,NA,NA,400,Anticipated,"University College, London",,NA,1,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Blood samples Nasal and oropharygeal swabs
    ",NA,NA,NA,Yes,Publication of results in open access journals; sharing of results in scientific databases.,2020-10-01T09:53:35Z,2020-10-01T09:53:35Z
NCT04315870,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-18,NA,NA,2020-03-19,2020-03-19,2020-03-20,Actual,NA,NA,NA,NA,NA,NA,2020-03-19,2020-03-20,Actual,"January 1, 2020",Actual,2020-01-01,March 2020,2020-03-31,"April 30, 2020",Anticipated,2020-04-30,"April 20, 2020",Anticipated,2020-04-20,3 Months,Observational [Patient Registry],I-COVID,,Clinical Characteristics of Coronavirus Disease 2019 (COVID-19) in Pregnancy: The Italian Registry on Coronavirus in Pregnancy.,Clinical Characteristics of Coronavirus Disease 2019 (COVID-19) in Pregnancy: The Italian Registry on Coronavirus in Pregnancy,Recruiting,NA,NA,20,Anticipated,Federico II University,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,not decided yet,2020-10-01T09:53:55Z,2020-10-01T09:53:55Z
NCT04323592,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-19,2020-05-21,NA,2020-06-23,2020-03-24,2020-03-26,Actual,2020-05-28,2020-06-04,Actual,NA,NA,NA,2020-06-23,2020-06-24,Actual,"March 23, 2020",Actual,2020-03-23,June 2020,2020-06-30,"May 10, 2020",Actual,2020-05-10,"May 10, 2020",Actual,2020-05-10,4 Weeks,Observational [Patient Registry],MP-C19,,Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Prolonged Low Doses of Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome,Completed,NA,NA,173,Actual,University of Trieste,,NA,2,NA,FALSE,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,FALSE,None Retained,"
      Previous specific informed consent, blood samples of some patients treated with
      methylprednisolone were collected, in order to have the possibility to do
    ",NA,NA,NA,No,Anonymised data will be available only to data manager who can visualise clinical chart anytime when is needed,2020-10-01T09:52:58Z,2020-10-01T09:52:58Z
NCT04319016,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-20,NA,NA,2020-04-25,2020-03-23,2020-03-24,Actual,NA,NA,NA,NA,NA,NA,2020-04-25,2020-04-28,Actual,"January 1, 2020",Actual,2020-01-01,April 2020,2020-04-30,"May 1, 2020",Anticipated,2020-05-01,"April 30, 2020",Anticipated,2020-04-30,3 Months,Observational [Patient Registry],COVID-preg,,Clinical Characteristics of Coronavirus Disease 2019 (COVID-19) in Pregnancy,Clinical Characteristics of Coronavirus Disease 2019 (COVID-19) in Pregnancy,Recruiting,NA,NA,200,Anticipated,Federico II University,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,not planned yet,2020-10-01T09:53:31Z,2020-10-01T09:53:31Z
NCT04320472,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-22,NA,NA,2020-08-30,2020-03-22,2020-03-25,Actual,NA,NA,NA,NA,NA,NA,2020-08-30,2020-09-01,Actual,"March 23, 2020",Actual,2020-03-23,June 2020,2020-06-30,December 2020,Anticipated,2020-12-31,December 2020,Anticipated,2020-12-31,3 Months,Observational [Patient Registry],NeuroCOVID19,,Acute Encephalopathy in Critically Ill Patients With COVID-19,Outcomes in Patients With Acute Encephalopathy and SARS-Cov-2 Infection,Recruiting,NA,NA,250,Anticipated,Ictal Group,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-10-01T09:53:22Z,2020-10-01T09:53:22Z
NCT04321811,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-23,NA,NA,2020-03-30,2020-03-24,2020-03-25,Actual,NA,NA,NA,NA,NA,NA,2020-03-30,2020-04-02,Actual,"March 21, 2020",Actual,2020-03-21,March 2020,2020-03-31,"March 20, 2022",Anticipated,2022-03-20,"March 20, 2021",Anticipated,2021-03-20,1 Year,Observational [Patient Registry],BEAT19,,"Behavior, Environment And Treatments for Covid-19",A PATIENT-CENTRIC OUTCOMES REGISTRY OF PATIENTS WITH KNOWN OR SUSPECTED NOVEL CORONAVIRUS INFECTION SARS-COV-2 (COVID-19),Recruiting,NA,NA,100000,Anticipated,xCures,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,De-identified datasets will be made available to qualified researchers in accordance with the study protocol.,2020-10-01T09:53:12Z,2020-10-01T09:53:12Z
NCT04323839,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-24,NA,NA,2020-04-22,2020-03-24,2020-03-27,Actual,NA,NA,NA,NA,NA,NA,2020-04-22,2020-04-24,Actual,"March 20, 2020",Actual,2020-03-20,April 2020,2020-04-30,"March 31, 2024",Anticipated,2024-03-31,"March 31, 2024",Anticipated,2024-03-31,12 Months,Observational [Patient Registry],PRIORITY,,COVID-19 PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY),PRIORITY (Pregnancy Coronavirus Outcomes Registry),Recruiting,NA,NA,2000,Anticipated,"University of California, San Francisco",,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-10-01T09:52:56Z,2020-10-01T09:52:56Z
NCT04325412,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-25,NA,NA,2020-03-25,2020-03-25,2020-03-27,Actual,NA,NA,NA,NA,NA,NA,2020-03-25,2020-03-27,Actual,"March 23, 2020",Actual,2020-03-23,March 2020,2020-03-31,"June 23, 2021",Anticipated,2021-06-23,"March 23, 2021",Anticipated,2021-03-23,30 Days,Observational [Patient Registry],CAPACITY-COVID,,Cardiac complicAtions in Patients With SARS Corona vIrus 2 regisTrY,Cardiac complicAtions in Patients With SARS Corona vIrus 2 regisTrY,Recruiting,NA,NA,1000,Anticipated,UMC Utrecht,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-10-01T09:52:41Z,2020-10-01T09:52:41Z
NCT04327570,"ClinicalTrials.gov processed this data on September 30, 2020",2020-03-26,NA,NA,2020-05-27,2020-03-26,2020-03-31,Actual,NA,NA,NA,NA,NA,NA,2020-05-27,2020-05-29,Actual,"March 27, 2020",Actual,2020-03-27,May 2020,2020-05-31,"September 30, 2020",Anticipated,2020-09-30,"September 30, 2020",Anticipated,2020-09-30,6 Months,Observational [Patient Registry],COntAGIouS,,In-depth Immunological Investigation of COVID-19.,In-depth Characterisation of the Dynamic Host Immune Response to Coronavirus SARS-CoV-2,Recruiting,NA,NA,100,Anticipated,Universitaire Ziekenhuizen Leuven,,NA,2,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Blood, plasma, PBMC, BAL, lung tissue
    ",NA,NA,NA,Undecided,NA,2020-10-01T09:52:27Z,2020-10-01T09:52:27Z
