nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,id,nct_id,name,downcase_name,intervention_type,intervention_name,description,intervention_count,status,facility_name,city,state,zip,country,site_count
"ClinicalTrials.gov processed this data on April 15, 2020",2020-04-01,NA,NA,2020-04-03,2020-04-03,2020-04-06,Actual,NA,NA,NA,NA,NA,NA,2020-04-03,2020-04-06,Actual,"March 23, 2020",Actual,2020-03-23,April 2020,2020-04-30,"May 5, 2020",Anticipated,2020-05-05,"May 1, 2020",Anticipated,2020-05-01,2 Weeks,Observational [Patient Registry],HOPE COVID 19,,"International COVID19 Clinical Evaluation Registry,",International COVID19 Clinical Evaluation Registry: HOPECOVID19. (Health Outcome Predictive Evaluation for COVID19),Recruiting,NA,NA,2500,Anticipated,"St Carlos Hospital, Madrid, Spain",,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,IPD are to be share among HOPE researchers.,2020-04-16T09:15:25Z,2020-04-16T09:15:25Z,5054639,NCT04334291,COVID 19,covid 19,Combination Product,Observational (registry),Observational study.,1,Recruiting,Hospital Lclinico San Carlos,Madrid,,28040,Spain,1
"ClinicalTrials.gov processed this data on April 22, 2020",2020-04-05,NA,NA,2020-04-12,2020-04-12,2020-04-14,Actual,NA,NA,NA,NA,NA,NA,2020-04-12,2020-04-14,Actual,"March 15, 2020",Actual,2020-03-15,April 2020,2020-04-30,"May 1, 2021",Anticipated,2021-05-01,"January 1, 2021",Anticipated,2021-01-01,1 Year,Observational [Patient Registry],CovidRegOUH,,Prospective Quality Register of Patients With Confirmed Covid-19 at Oslo University Hospital,Prospective Quality Register of Patients With Confirmed Covid-19 at Oslo University Hospital,Recruiting,NA,NA,400,Anticipated,Oslo University Hospital,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-24T09:05:45Z,2020-04-24T09:05:45Z,5159418,NCT04345536,COVID-19,covid-19,NA,NA,NA,NA,Recruiting,Oslo University Hospital,Oslo,,0424,Norway,1
"ClinicalTrials.gov processed this data on April 10, 2020",2020-03-23,NA,NA,2020-03-30,2020-03-24,2020-03-25,Actual,NA,NA,NA,NA,NA,NA,2020-03-30,2020-04-02,Actual,"March 21, 2020",Actual,2020-03-21,March 2020,2020-03-31,"March 20, 2022",Anticipated,2022-03-20,"March 20, 2021",Anticipated,2021-03-20,1 Year,Observational [Patient Registry],BEAT19,,"Behavior, Environment And Treatments for Covid-19",A PATIENT-CENTRIC OUTCOMES REGISTRY OF PATIENTS WITH KNOWN OR SUSPECTED NOVEL CORONAVIRUS INFECTION SARS-COV-2 (COVID-19),Recruiting,NA,NA,100000,Anticipated,xCures,,NA,1,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,De-identified datasets will be made available to qualified researchers in accordance with the study protocol.,2020-04-12T09:08:04Z,2020-04-12T09:08:04Z,5005244,NCT04321811,Coronavirus,coronavirus,Other,"Observation of patients with known, suspected, or at risk for COVID-19 infection",Participants will receive daily diary surveys to track the symptomatic course of known or suspected COVID-19 patients as well as use of any interventions or treatments.,1,Recruiting,BEAT19.org,San Francisco,California,94022,United States,1
"ClinicalTrials.gov processed this data on April 09, 2020",2020-04-05,NA,NA,2020-04-05,2020-04-05,2020-04-07,Actual,NA,NA,NA,NA,NA,NA,2020-04-05,2020-04-07,Actual,"April 1, 2020",Actual,2020-04-01,April 2020,2020-04-30,"May 30, 2020",Anticipated,2020-05-30,"May 28, 2020",Anticipated,2020-05-28,2 Months,Observational [Patient Registry],NA,,Evaluation of the Effect of High-dose Vitamin C Use in Covid 19 Positive Pregnants,High-dose Vitamin C Use in Covid 19 Positive Pregnants,"Active, not recruiting",NA,NA,50,Anticipated,Kanuni Sultan Suleyman Training and Research Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      (hemogram, biochemistry (ast- urea, creatinine, potassium, sodium, calcium, magnesium,
      vitamin d, homocysteine, ggt, crp)
    ",NA,NA,NA,Yes,NA,2020-04-10T09:09:53Z,2020-04-10T09:09:53Z,4974172,NCT04337281,Covid19,covid19,Drug,High dose vitamin C,researchers will evaluate the change of peripheral blood values in pregnant women receiving high doses of vitamin C,1,,Pinar Yalcin Bahat,Istanbul,Ä°Ì‡stanbul,34000,Turkey,1
"ClinicalTrials.gov processed this data on April 09, 2020",2020-03-27,NA,NA,2020-03-30,2020-03-30,2020-03-31,Actual,NA,NA,NA,NA,NA,NA,2020-03-30,2020-03-31,Actual,"March 14, 2020",Actual,2020-03-14,March 2020,2020-03-31,"May 15, 2020",Anticipated,2020-05-15,"May 15, 2020",Anticipated,2020-05-15,1 Month,Observational [Patient Registry],NA,,The Use of Focused Lung Ultrasound in Patients Suspected of COVID-19,The Use of Focused Lung Ultrasound in Patients Suspected of COVID-19,Recruiting,NA,NA,375,Anticipated,University of Aarhus,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-10T09:15:41Z,2020-04-10T09:15:41Z,4975560,NCT04327674,COVID-19,covid-19,NA,NA,NA,NA,Recruiting|Recruiting,Lungemedicinsk Forskningsafdeling. Aarhus University Hospital|Regionshospitalet Horsens.,Aarhus|Horsens,|,8000|,Denmark|Denmark,2
"ClinicalTrials.gov processed this data on April 09, 2020",2020-03-25,NA,NA,2020-03-28,2020-03-25,2020-03-27,Actual,NA,NA,NA,NA,NA,NA,2020-03-28,2020-03-31,Actual,"April 6, 2020",Anticipated,2020-04-06,March 2020,2020-03-31,"November 9, 2020",Anticipated,2020-11-09,"October 5, 2020",Anticipated,2020-10-05,1 Month,Observational [Patient Registry],EC-COVID-PCS,,Early CPAP in COVID Patients With Respiratory Failure. A Prospective Cohort Study.,EC-COVID-PCS - Early CPAP in COVID Patients With Respiratory Failure. A Prospective Cohort Study.,Not yet recruiting,NA,NA,3000,Anticipated,Mario Negri Institute for Pharmacological Research,,NA,NA,NA,FALSE,NA,NA,NA,TRUE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,No,NA,2020-04-10T09:16:31Z,2020-04-10T09:16:31Z,4975747,NCT04323878,Early CPAP Ventilation in COVID-19 Patients,early cpap ventilation in covid-19 patients,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ClinicalTrials.gov processed this data on April 24, 2020",2020-04-10,NA,NA,2020-04-14,2020-04-14,2020-04-16,Actual,NA,NA,NA,NA,NA,NA,2020-04-14,2020-04-16,Actual,"April 8, 2020",Actual,2020-04-08,April 2020,2020-04-30,"July 31, 2020",Anticipated,2020-07-31,"June 30, 2020",Anticipated,2020-06-30,30 Days,Observational [Patient Registry],POINT-C,,ICU Trial in Critical Ill COVIDâ€19 Patients,Prospective Observational ICU Trial in Critical Ill COVIDâ€19 Patients (POINT-C) Cardiovascular Risk and the Effects on Myocardial Events in Critical Ill COVID-19 Patients,Recruiting,NA,NA,50,Anticipated,Medical University of Graz,,NA,3,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples With DNA,"
      Lipid profile once at intensive care unit admission (9 ml whole blood).
    ",NA,NA,NA,Undecided,"If other researchers need the medical data of this study for their research projects, the data will be made available after consideration.",2020-04-26T09:04:17Z,2020-04-26T09:04:17Z,5188003,NCT04349982,Covid19,covid19,Diagnostic Test,"Biomarker (TropT, Myoglobin, CK, CK-MB, LDH, D-dimer, CRP, PCT)",Factorial,1,Recruiting,Medical University of Graz,Graz,Styria,,Austria,1
"ClinicalTrials.gov processed this data on April 09, 2020",2020-04-07,NA,NA,2020-04-07,2020-04-07,2020-04-09,Estimate,NA,NA,NA,NA,NA,NA,2020-04-07,2020-04-09,Estimate,"March 20, 2020",Actual,2020-03-20,April 2020,2020-04-30,"May 3, 2020",Anticipated,2020-05-03,"May 1, 2020",Anticipated,2020-05-01,45 Days,Observational [Patient Registry],NA,,Evaluation of Serum Zinc Levels Response to Treatment of Covid 19 Positive Patients,Zinc Levels in Covid-19 Positive Patients,"Active, not recruiting",NA,NA,25,Anticipated,Kanuni Sultan Suleyman Training and Research Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,Samples Without DNA,"
      serum zinc level will be measured in peripheral blood.
    ",NA,NA,NA,Yes,NA,2020-04-10T09:08:30Z,2020-04-10T09:08:30Z,4973877,NCT04339556,Covid19,covid19,Other,Zinc levels,"Since covid 19 and zinc act on the same receptor in the body, the effect of serum levels of patients on the course of the disease and response to treatment is examined.",1,,Pinar Yalcin Bahat,Istanbul,Ä°Ì‡stanbul,34000,Turkey,1
"ClinicalTrials.gov processed this data on April 09, 2020",2020-04-05,NA,NA,2020-04-07,2020-04-06,2020-04-08,Actual,NA,NA,NA,NA,NA,NA,2020-04-07,2020-04-09,Estimate,"April 1, 2020",Actual,2020-04-01,April 2020,2020-04-30,"May 30, 2020",Anticipated,2020-05-30,"May 28, 2020",Anticipated,2020-05-28,2 Months,Observational [Patient Registry],NA,,Evaluation of the Effects of Ozone Therapy on Covid 19 Positive Patients,Ozone Therapy on Covid 19 Positive Patients,"Active, not recruiting",NA,NA,50,Anticipated,Kanuni Sultan Suleyman Training and Research Hospital,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Yes,NA,2020-04-10T09:09:33Z,2020-04-10T09:09:33Z,4974101,NCT04337866,Covid19,covid19,Other,ozone therapy group (covid positive),The effects of ozone therapy given in addition to the treatment they received in covid 19 positive patients (hydroxychloroquine + azithromycin),1,,Pinar Yalcin Bahat,Istanbul,Ä°Ì‡stanbul,34000,Turkey,1
"ClinicalTrials.gov processed this data on April 16, 2020",2020-03-31,NA,NA,2020-04-04,2020-04-01,2020-04-03,Actual,NA,NA,NA,NA,NA,NA,2020-04-04,2020-04-07,Actual,"April 1, 2020",Anticipated,2020-04-01,April 2020,2020-04-30,"October 1, 2020",Anticipated,2020-10-01,"October 1, 2020",Anticipated,2020-10-01,1 Month,Observational [Patient Registry],NA,,COVID-19 in Patients With HIV,Prospective Observational Study for Patients With HIV and Confirmed SARS-CoV-2,Recruiting,NA,NA,500,Anticipated,University of Missouri-Columbia,,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,,NA,NA,NA,Undecided,NA,2020-04-17T09:13:21Z,2020-04-17T09:13:21Z,5069723,NCT04333953,COVID-19,covid-19,Other,No intervention,"No intervention, observational study",1,Recruiting,University of Missouri-Columbia,Columbia,Missouri,65212,United States,1
