Site_count,Study_Count
1,3957
2,404
3,187
4,147
5,83
6,65
7,59
8,55
9,35
10,32
11,38
12,37
13,18
14,27
15,14
16,9
17,20
18,17
19,8
20,10
21,14
22,12
23,7
24,7
25,9
26,6
27,9
28,4
29,6
30,5
31,12
32,2
33,3
34,4
35,1
36,5
37,2
38,1
39,6
40,6
41,5
42,4
43,2
44,2
45,2
47,3
48,1
50,3
51,2
52,1
53,5
55,4
56,1
57,4
58,1
59,2
60,4
61,2
62,3
63,3
64,1
65,2
68,2
69,1
71,2
72,1
73,1
74,1
75,1
76,1
79,1
80,1
81,2
86,1
89,1
91,4
92,1
94,1
95,1
96,1
97,1
98,1
100,1
105,3
106,1
107,1
109,1
115,1
116,1
120,1
121,1
123,1
125,2
128,1
134,1
139,1
141,1
146,1
148,2
164,1
166,1
173,1
175,1
183,1
184,1
191,1
218,1
225,1
245,1
359,1
931,1
