Site_count,Study_Count
1,1560
2,217
3,93
4,92
5,46
6,38
7,32
8,32
9,24
10,18
11,24
12,17
13,12
14,12
15,7
16,12
17,11
18,7
19,5
20,6
21,10
22,7
23,6
24,6
25,6
26,7
27,3
28,5
29,5
30,5
31,7
32,1
33,4
34,2
35,2
36,3
37,1
39,3
40,5
41,2
42,2
47,2
48,2
49,2
50,1
51,1
53,4
54,1
55,2
56,1
57,3
58,2
59,1
60,4
61,1
62,1
63,1
64,1
65,1
67,1
69,1
71,1
72,2
73,1
74,1
75,1
81,1
86,1
89,1
91,1
95,1
96,1
98,1
100,2
105,1
109,2
115,1
120,1
121,1
123,1
126,2
133,1
134,1
149,1
153,1
159,1
162,1
183,1
184,1
206,1
213,1
