nct_id,n
NCT04381819,1
NCT04381377,3
NCT04381364,5
NCT04381351,2
NCT04381312,1
NCT04381286,2
NCT04381052,2
NCT04381000,3
NCT04380987,2
NCT04380961,17
NCT04380935,2
NCT04380909,4
NCT04380896,3
NCT04380870,3
NCT04380818,4
NCT04380792,2
NCT04380779,2
NCT04380766,4
NCT04380727,2
NCT04380714,3
NCT04380701,6
NCT04380688,6
NCT04380532,2
NCT04380519,3
NCT04380402,3
NCT04380376,2
NCT04379661,3
NCT04379544,3
NCT04379531,3
NCT04379518,13
NCT04379466,3
NCT04379453,2
NCT04379440,1
NCT04379375,7
NCT04379336,2
NCT04379310,2
NCT04379297,2
NCT04379271,4
NCT04379258,4
NCT04379245,1
NCT04379232,1
NCT04361877,3
NCT04379154,4
NCT04379089,2
NCT04379076,6
NCT04379063,4
NCT04379037,3
NCT04378920,8
NCT04378881,2
NCT04378842,2
NCT04378829,3
NCT04378803,4
NCT04378777,11
NCT04378738,1
NCT04378712,3
NCT04378686,2
NCT04378595,2
NCT04378582,4
NCT04378452,5
NCT04377165,4
NCT04377685,5
NCT04377672,5
NCT04377659,6
NCT04377620,8
NCT04377607,3
NCT04377581,3
NCT04377490,2
NCT04377477,3
NCT04377035,3
NCT04376996,3
NCT04377815,2
NCT04377789,6
NCT04377776,2
NCT04377763,4
NCT04377750,1
NCT04377724,5
NCT04377711,6
NCT04377412,1
NCT04377308,1
NCT04376905,3
NCT04376879,5
NCT04376853,1
NCT04376840,2
NCT04376814,3
NCT04376788,2
NCT04376775,4
NCT04376710,3
NCT04376944,1
NCT04377074,1
NCT04376476,2
NCT04376684,26
NCT04376658,5
NCT04375774,1
NCT04376593,4
NCT04376580,3
NCT04376034,1
NCT04375501,2
NCT04376398,2
NCT04375709,2
NCT04375670,2
NCT04375644,2
NCT04375761,11
NCT04375748,2
NCT04375397,15
NCT04375202,3
NCT04375176,1
NCT04375137,5
NCT04375124,3
NCT04375098,4
NCT04374838,3
NCT04375410,2
NCT04374942,3
NCT04374656,3
NCT04374539,2
NCT04374526,4
NCT04374513,4
NCT04374487,2
NCT04374461,11
NCT04374422,1
NCT04374786,3
NCT04374617,2
NCT04374591,4
NCT04374565,6
NCT04374097,2
NCT04374084,4
NCT04374071,1
NCT04374058,1
NCT04374045,4
NCT04374032,4
NCT04374019,5
NCT04374149,3
NCT04373486,2
NCT04374123,2
NCT04374110,2
NCT04373889,4
NCT04373824,1
NCT04373811,5
NCT04373798,3
NCT04373759,11
NCT04373382,4
NCT04373291,7
NCT04373109,2
NCT04373096,4
NCT04373044,5
NCT04373005,4
NCT04372693,7
NCT04372680,2
NCT04372056,4
NCT04372017,4
NCT04372004,3
NCT04371744,2
NCT04371679,1
NCT04371367,4
NCT04371354,4
NCT04371328,3
NCT04371315,3
NCT04371302,3
NCT04371289,2
NCT04371029,4
NCT04370678,2
NCT04370288,2
NCT04370275,1
NCT04370262,4
NCT04370249,3
NCT04370236,4
NCT04370210,4
NCT04370197,1
NCT04369989,1
NCT04369859,2
NCT04369690,1
NCT04369378,4
NCT04369365,2
NCT04369300,2
NCT04369066,7
NCT04368988,8
NCT04368975,1
NCT04368923,2
NCT04368676,4
NCT04368637,2
NCT04368143,3
NCT04368065,9
NCT04368026,3
NCT04367740,3
NCT04367714,2
NCT04367662,2
NCT04367636,2
NCT04366765,3
NCT04367402,2
NCT04367363,3
NCT04367350,1
NCT04367337,6
NCT04367207,3
NCT04366986,3
NCT04366960,5
NCT04366947,2
NCT04366934,3
NCT04366921,2
NCT04366908,4
NCT04366882,1
NCT04366856,2
NCT04366323,3
NCT04366297,1
NCT04366245,5
NCT04366232,6
NCT04366206,1
NCT04365985,6
NCT04365972,2
NCT04365959,3
NCT04365881,1
NCT04365634,1
NCT04365608,3
NCT04365595,4
NCT04365530,3
NCT04365439,2
NCT04365348,2
NCT04365335,5
NCT04365322,4
NCT04365309,1
NCT04365257,5
NCT04365166,4
NCT04365153,10
NCT04365127,3
NCT04365101,20
NCT04373733,6
NCT04373707,6
NCT04373200,6
NCT04373161,3
NCT04373148,8
NCT04373135,4
NCT04372979,4
NCT04372628,10
NCT04372602,8
NCT04372589,7
NCT04372576,1
NCT04372472,2
NCT04372199,1
NCT04372186,16
NCT04371978,5
NCT04371965,4
NCT04371848,2
NCT04371835,5
NCT04371601,1
NCT04371562,2
NCT04371510,1
NCT04371471,2
NCT04371432,195
NCT04371419,5
NCT04304313,2
NCT04371393,19
NCT04371250,3
NCT04370886,3
NCT04370834,17
NCT04370821,6
NCT04370808,4
NCT04370782,3
NCT04370171,3
NCT04370119,3
NCT04370067,3
NCT04369820,2
NCT04369807,2
NCT04369794,2
NCT04369742,5
NCT04369469,11
NCT04369456,2
NCT04368897,5
NCT04368884,2
NCT04368871,3
NCT04368845,3
NCT04368793,3
NCT04368390,3
NCT04368377,1
NCT04368351,2
NCT04368338,3
NCT04368312,2
NCT04368299,3
NCT04366778,5
NCT04368260,1
NCT04368234,3
NCT04368221,5
NCT04368208,4
NCT04368156,2
NCT04368000,4
NCT04367896,1
NCT04367883,4
NCT04367870,4
NCT04367857,3
NCT04367831,4
NCT04367805,1
NCT04367792,3
NCT04367545,3
NCT04367168,3
NCT04367142,3
NCT04367129,2
NCT04367077,8
NCT04367064,2
NCT04366817,2
NCT04366752,1
NCT04366180,2
NCT04366167,2
NCT04365361,3
NCT04366154,3
NCT04366141,4
NCT04366089,1
NCT04366063,2
NCT04366050,3
NCT04366024,2
NCT04365816,3
NCT04365764,4
NCT04365738,1
NCT04365725,3
NCT04365699,5
NCT04364893,3
NCT04364828,4
NCT04364802,4
NCT04364984,7
NCT04364763,14
NCT04364737,14
NCT04364698,2
NCT04364594,3
NCT04373460,26
NCT04363853,4
NCT04363827,4
NCT04363814,4
NCT04363788,2
NCT04364022,3
NCT04364009,6
NCT04363528,3
NCT04363502,8
NCT04363489,4
NCT04363749,4
NCT04363736,6
NCT04363463,4
NCT04363450,3
NCT04363437,3
NCT04363632,4
NCT04363385,6
NCT04363606,6
NCT04363346,4
NCT04363333,6
NCT04363593,3
NCT04363541,3
NCT04363268,2
NCT04363008,2
NCT04363099,1
NCT04363047,3
NCT04362995,7
NCT04362956,4
NCT04362943,2
NCT04362930,3
NCT04362059,4
NCT04362189,9
NCT04362176,9
NCT04362813,20
NCT04362358,3
NCT04362345,3
NCT04362332,2
NCT04362319,2
NCT04362267,3
NCT04362150,5
NCT04362137,22
NCT04362111,3
NCT04361838,4
NCT04361786,3
NCT04361942,4
NCT04361916,3
NCT04361565,3
NCT04361214,6
NCT04361526,1
NCT04361500,1
NCT04361474,7
NCT04361448,2
NCT04361396,7
NCT04361019,2
NCT04360980,4
NCT04360954,4
NCT04361591,1
NCT04361344,3
NCT04361123,3
NCT04361253,4
NCT04360733,2
NCT04360863,3
NCT04360850,3
NCT04360837,3
NCT04360824,5
NCT04360811,1
NCT04359836,4
NCT04360551,2
NCT04360538,2
NCT04360278,20
NCT04359251,1
NCT04359953,3
NCT04359927,3
NCT04359914,4
NCT04359901,7
NCT04359875,2
NCT04359862,5
NCT04359849,1
NCT04359810,5
NCT04359797,14
NCT04359706,3
NCT04359680,6
NCT04359407,3
NCT04359121,3
NCT04359095,6
NCT04358809,2
NCT04358783,4
NCT04358510,1
NCT04358406,5
NCT04358380,3
NCT04358081,10
NCT04357639,8
NCT04357574,3
NCT04357366,7
NCT04357340,2
NCT04357327,3
NCT04357314,3
NCT04357275,1
NCT04357041,6
NCT04356950,6
NCT04356937,8
NCT04356885,3
NCT04356833,3
NCT04356365,2
NCT04355962,8
NCT04355936,9
NCT04355897,4
NCT04355871,2
NCT04355741,3
NCT04355728,8
NCT04355715,3
NCT04355507,3
NCT04355481,2
NCT04355442,4
NCT04355364,9
NCT04355351,4
NCT04355338,4
NCT04355143,5
NCT04354818,5
NCT04354792,5
NCT04354779,5
NCT04354766,3
NCT04354753,1
NCT04354701,7
NCT04354428,7
NCT04353154,3
NCT04353141,2
NCT04353128,3
NCT04353011,4
NCT04352764,3
NCT04352751,5
NCT04352699,3
NCT04352400,2
NCT04352348,6
NCT04351659,2
NCT04351633,5
NCT04351620,1
NCT04351581,6
NCT04351568,2
NCT04351542,1
NCT04351529,3
NCT04351503,5
NCT04351399,4
NCT04351347,6
NCT04351152,12
NCT04351139,6
NCT04360707,2
NCT04359693,4
NCT04360096,15
NCT04359667,3
NCT04359654,3
NCT04359537,3
NCT04359329,1
NCT04359290,7
NCT04359264,3
NCT04359212,4
NCT04358952,3
NCT04358939,9
NCT04358926,6
NCT04358640,2
NCT04358614,1
NCT04358549,14
NCT04358536,1
NCT04358042,4
NCT04358029,3
NCT04358003,10
NCT04357990,3
NCT04357938,3
NCT04357886,3
NCT04357860,3
NCT04357847,3
NCT04357834,4
NCT04357808,4
NCT04357782,4
NCT04357769,2
NCT04357730,11
NCT04357535,9
NCT04357444,5
NCT04357431,3
NCT04357418,3
NCT04357106,1
NCT04356690,7
NCT04356586,2
NCT04356560,2
NCT04356495,8
NCT04356482,4
NCT04356443,1
NCT04356378,2
NCT04355637,6
NCT04355624,2
NCT04355611,3
NCT04355533,7
NCT04355247,1
NCT04355234,4
NCT04355026,1
NCT04354870,7
NCT04354857,2
NCT04354831,5
NCT04354610,7
NCT04354584,2
NCT04354558,3
NCT04354519,4
NCT04354272,2
NCT04354259,5
NCT04354155,4
NCT04353934,3
NCT04353674,7
NCT04353609,2
NCT04353596,4
NCT04353583,11
NCT04353518,3
NCT04353336,7
NCT04353284,9
NCT04353271,4
NCT04353206,4
NCT04352959,5
NCT04352933,2
NCT04352842,3
NCT04352634,10
NCT04352608,5
NCT04352582,2
NCT04352556,4
NCT04352517,3
NCT04352491,4
NCT04351906,8
NCT04351854,3
NCT04351802,3
NCT04351789,2
NCT04351763,2
NCT04351724,4
NCT04351711,6
NCT04351295,5
NCT04351243,13
NCT04351191,3
NCT04350723,4
NCT04350710,1
NCT04350684,2
NCT04350671,2
NCT04350593,7
NCT04350580,6
NCT04350736,6
NCT04350320,4
NCT04349982,2
NCT04350281,3
NCT04350099,2
NCT04349592,3
NCT04349540,1
NCT04349631,11
NCT04349618,3
NCT04348942,5
NCT04349410,9
NCT04349371,3
NCT04349098,7
NCT04349241,3
NCT04349202,5
NCT04349163,4
NCT04348929,5
NCT04348383,5
NCT04348695,2
NCT04348513,3
NCT04348500,5
NCT04348435,10
NCT04348422,4
NCT04348409,3
NCT04348396,2
NCT04348656,13
NCT04348370,7
NCT04348305,15
NCT04348552,3
NCT04348240,21
NCT04347993,3
NCT04347980,3
NCT04348227,2
NCT04348214,5
NCT04347941,2
NCT04347928,3
NCT04347915,5
NCT04347876,1
NCT04347694,3
NCT04347681,4
NCT04347850,3
NCT04347824,5
NCT04347798,3
NCT04347239,15
NCT04347408,9
NCT04347382,7
NCT04347369,2
NCT04347460,1
NCT04347226,4
NCT04347070,3
NCT04347031,3
NCT04346927,3
NCT04346693,4
NCT04346667,3
NCT04346628,8
NCT04346420,2
NCT04346355,3
NCT04346342,5
NCT04346121,4
NCT04346056,4
NCT04346017,2
NCT04345692,3
NCT04345679,4
NCT04345653,8
NCT04345419,7
NCT04345315,2
NCT04344600,7
NCT04344587,14
NCT04344561,5
NCT04344535,4
NCT04344457,4
NCT04344444,2
NCT04344431,3
NCT04344379,5
NCT04344210,2
NCT04344197,2
NCT04344184,10
NCT04344171,2
NCT04344145,5
NCT04344119,3
NCT04344106,1
NCT04343976,7
NCT04343963,3
NCT04343898,13
NCT04343404,2
NCT04343092,5
NCT04343053,4
NCT04342897,21
NCT04342884,4
NCT04342221,4
NCT04342195,4
NCT04342182,12
NCT04342169,5
NCT04342104,5
NCT04341792,3
NCT04341766,3
NCT04341519,2
NCT04341506,2
NCT04341493,4
NCT04341480,3
NCT04341441,6
NCT04341415,4
NCT04341207,1
NCT04340921,2
NCT04340557,5
NCT04340544,3
NCT04340349,5
NCT04340219,3
NCT04339881,2
NCT04339634,2
NCT04339608,1
NCT04339491,2
NCT04338841,3
NCT04338828,3
NCT04338074,9
NCT04337762,2
NCT04330586,4
NCT04337541,2
NCT04337502,1
NCT04337424,5
NCT04337346,3
NCT04337320,2
NCT04337190,2
NCT04337151,1
NCT04336956,6
NCT04337047,2
NCT04337008,2
NCT04347278,3
NCT04346797,2
NCT04346615,16
NCT04346602,1
NCT04346589,4
NCT04346446,8
NCT04346264,2
NCT04346212,3
NCT04346199,8
NCT04346186,2
NCT04346147,6
NCT04345861,4
NCT04345848,6
NCT04345640,3
NCT04345614,20
NCT04345601,10
NCT04345549,1
NCT04345536,3
NCT04345523,4
NCT04345510,2
NCT04345289,3
NCT04345276,2
NCT04345159,5
NCT04344977,16
NCT04344964,3
NCT04344951,3
NCT04344925,6
NCT04344912,2
NCT04344834,3
NCT04344730,3
