nct_id,version,Date,Changes
NCT04244591,1,"January 25, 2020",None (earliest Version on record)
NCT04244591,2,"February 1, 2020",Recruitment Status
NCT04244591,2,"February 1, 2020", Study Status
NCT04244591,2,"February 1, 2020",Contacts/Locations
NCT04244591,3,"February 9, 2020",Eligibility
NCT04244591,3,"February 9, 2020",Study Status
NCT04244591,4,"February 10, 2020",Study Status
NCT04244591,4,"February 10, 2020",Eligibility
NCT04244591,5,"February 12, 2020",Study Status
NCT04244591,6,"April 14, 2020",Recruitment Status
NCT04244591,6,"April 14, 2020", Study Status
NCT04244591,6,"April 14, 2020", Study Identification
NCT04244591,6,"April 14, 2020", Contacts/Locations
NCT04244591,6,"April 14, 2020", Study Description
NCT04244591,6,"April 14, 2020", Eligibility
NCT04244591,6,"April 14, 2020", Study Design
NCT04244591,6,"April 14, 2020",Conditions
NCT04252118,1,"January 30, 2020",None (earliest Version on record)
NCT04252118,2,"February 1, 2020",Study Status
NCT04252118,3,"February 10, 2020",Sponsor/Collaborators
NCT04252118,3,"February 10, 2020",Study Status
NCT04252118,4,"February 25, 2020",Outcome Measures
NCT04252118,4,"February 25, 2020", Eligibility
NCT04252118,4,"February 25, 2020", Arms
NCT04252118,4,"February 25, 2020",Interventions
NCT04252118,4,"February 25, 2020", Study Status
NCT04252118,4,"February 25, 2020", Study Design
NCT04252118,4,"February 25, 2020",Study Description
NCT04252118,5,"April 13, 2020",Conditions
NCT04252118,5,"April 13, 2020", Study Description
NCT04252118,5,"April 13, 2020", Study Status
NCT04252118,5,"April 13, 2020", Study Identification
NCT04252118,5,"April 13, 2020", Eligibility
NCT04252118,5,"April 13, 2020",Outcome Measures
NCT04251871,1,"January 30, 2020",None (earliest Version on record)
NCT04251871,2,"May 4, 2020",Outcome Measures
NCT04251871,2,"May 4, 2020", Study Description
NCT04251871,2,"May 4, 2020", Study Status
NCT04251871,2,"May 4, 2020", Study Identification
NCT04251871,2,"May 4, 2020", References
NCT04251871,2,"May 4, 2020",Eligibility
NCT04252274,1,"January 31, 2020",None (earliest Version on record)
NCT04252274,2,"March 3, 2020",Recruitment Status
NCT04252274,2,"March 3, 2020", Study Status
NCT04252274,2,"March 3, 2020", Contacts/Locations
NCT04252274,2,"March 3, 2020",Eligibility
NCT04252274,3,"April 9, 2020",Study Identification
NCT04252274,3,"April 9, 2020", Study Description
NCT04252274,3,"April 9, 2020", Study Status
NCT04252274,3,"April 9, 2020", Eligibility
NCT04252274,3,"April 9, 2020",Conditions
NCT04252885,1,"January 31, 2020",None (earliest Version on record)
NCT04263402,1,"February 7, 2020",None (earliest Version on record)
NCT04263402,2,"March 9, 2020",Recruitment Status
NCT04263402,2,"March 9, 2020", Study Status
NCT04263402,2,"March 9, 2020",Contacts/Locations
NCT04263402,3,"March 11, 2020",Study Description
NCT04263402,3,"March 11, 2020", Study Status
NCT04263402,3,"March 11, 2020",Study Identification
NCT04263402,4,"March 14, 2020",Study Status
NCT04255017,1,"February 2, 2020",None (earliest Version on record)
NCT04255017,2,"March 9, 2020",Recruitment Status
NCT04255017,2,"March 9, 2020", Study Status
NCT04255017,2,"March 9, 2020",Contacts/Locations
NCT04255017,3,"March 11, 2020",Study Identification
NCT04255017,3,"March 11, 2020", Study Description
NCT04255017,3,"March 11, 2020",Study Status
NCT04255017,4,"March 14, 2020",Study Status
NCT04254874,1,"February 2, 2020",None (earliest Version on record)
NCT04254874,2,"March 9, 2020",Recruitment Status
NCT04254874,2,"March 9, 2020", Study Status
NCT04254874,2,"March 9, 2020",Contacts/Locations
NCT04254874,3,"March 11, 2020",Study Identification
NCT04254874,3,"March 11, 2020", Study Description
NCT04254874,3,"March 11, 2020",Study Status
NCT04254874,4,"March 14, 2020",Study Status
NCT04264533,1,"February 8, 2020",None (earliest Version on record)
NCT04264533,2,"March 6, 2020",Recruitment Status
NCT04264533,2,"March 6, 2020", Arms
NCT04264533,2,"March 6, 2020",Interventions
NCT04264533,2,"March 6, 2020", Study Status
NCT04264533,2,"March 6, 2020", Contacts/Locations
NCT04264533,2,"March 6, 2020",Outcome Measures
NCT04261270,1,"February 6, 2020",None (earliest Version on record)
NCT04261270,2,"March 9, 2020",Recruitment Status
NCT04261270,2,"March 9, 2020", Study Status
NCT04261270,2,"March 9, 2020",Contacts/Locations
NCT04261270,3,"March 14, 2020",Study Status
NCT04331613,1,"March 31, 2020",None (earliest Version on record)
NCT04275245,1,"February 16, 2020",None (earliest Version on record)
NCT04261517,1,"February 6, 2020",None (earliest Version on record)
NCT04261517,2,"March 3, 2020",Recruitment Status
NCT04261517,2,"March 3, 2020", Study Status
NCT04261517,2,"March 3, 2020", Contacts/Locations
NCT04261517,2,"March 3, 2020",Eligibility
NCT04261517,3,"March 22, 2020",Recruitment Status
NCT04261517,3,"March 22, 2020", Study Status
NCT04261517,3,"March 22, 2020", Contacts/Locations
NCT04261517,3,"March 22, 2020", References
NCT04261517,3,"March 22, 2020",Study Design
NCT04261517,4,"April 9, 2020",Study Identification
NCT04261517,4,"April 9, 2020", Conditions
NCT04261517,4,"April 9, 2020", Study Description
NCT04261517,4,"April 9, 2020", Study Status
NCT04261517,4,"April 9, 2020",Eligibility
NCT04269525,1,"February 12, 2020",None (earliest Version on record)
NCT04269525,2,"February 12, 2020",Study Status
NCT04282902,1,"February 21, 2020",None (earliest Version on record)
NCT04276688,1,"February 17, 2020",None (earliest Version on record)
NCT04276688,2,"February 26, 2020",Recruitment Status
NCT04276688,2,"February 26, 2020", Study Status
NCT04276688,2,"February 26, 2020", Contacts/Locations
NCT04276688,2,"February 26, 2020", Outcome Measures
NCT04276688,2,"February 26, 2020",Study Description
NCT04276688,3,"April 13, 2020",Recruitment Status
NCT04276688,3,"April 13, 2020", Study Status
NCT04276688,3,"April 13, 2020", Contacts/Locations
NCT04276688,3,"April 13, 2020",Study Design
NCT04280224,1,"February 20, 2020",None (earliest Version on record)
NCT04280224,2,"April 11, 2020",Study Status
NCT04280224,2,"April 11, 2020",Study Identification
NCT04304313,1,"March 10, 2020",None (earliest Version on record)
NCT04304313,2,"March 14, 2020",Study Status
NCT04275414,1,"February 16, 2020",None (earliest Version on record)
NCT04275414,2,"April 1, 2020",Study Status
NCT04275414,2,"April 1, 2020", Contacts/Locations
NCT04275414,2,"April 1, 2020",Sponsor/Collaborators
NCT04273763,1,"February 14, 2020",None (earliest Version on record)
NCT04273763,2,"February 18, 2020",Recruitment Status
NCT04273763,2,"February 18, 2020", Study Status
NCT04273763,2,"February 18, 2020", Contacts/Locations
NCT04273763,2,"February 18, 2020",Conditions
NCT04273763,3,"February 25, 2020",Outcome Measures
NCT04273763,3,"February 25, 2020", Arms
NCT04273763,3,"February 25, 2020",Interventions
NCT04273763,3,"February 25, 2020",Study Status
NCT04273763,4,"March 19, 2020",Outcome Measures
NCT04273763,4,"March 19, 2020", Arms
NCT04273763,4,"March 19, 2020",Interventions
NCT04273763,4,"March 19, 2020",Study Status
NCT04273763,5,"April 29, 2020",Recruitment Status
NCT04273763,5,"April 29, 2020", Study Status
NCT04273763,5,"April 29, 2020",Study Design
NCT04279197,1,"February 19, 2020",None (earliest Version on record)
NCT04273321,1,"February 17, 2020",None (earliest Version on record)
NCT04273321,2,"February 20, 2020",Outcome Measures
NCT04273321,2,"February 20, 2020",Study Status
NCT04273321,3,"March 31, 2020",Contacts/Locations
NCT04273321,3,"March 31, 2020", Arms
NCT04273321,3,"March 31, 2020",Interventions
NCT04273321,3,"March 31, 2020",Study Status
NCT04273321,4,"April 16, 2020",Recruitment Status
NCT04273321,4,"April 16, 2020", Study Status
NCT04273321,4,"April 16, 2020",Contacts/Locations
NCT04273321,5,"May 8, 2020",Recruitment Status
NCT04273321,5,"May 8, 2020", Study Status
NCT04273321,5,"May 8, 2020",Study Design
NCT04276896,1,"February 17, 2020",None (earliest Version on record)
NCT04276896,2,"February 28, 2020",Arms
NCT04276896,2,"February 28, 2020",Interventions
NCT04276896,2,"February 28, 2020", Conditions
NCT04276896,2,"February 28, 2020", Study Description
NCT04276896,2,"February 28, 2020", Study Identification
NCT04276896,2,"February 28, 2020", Eligibility
NCT04276896,2,"February 28, 2020",Study Status
NCT04276896,3,"March 17, 2020",Study Status
NCT04276896,3,"March 17, 2020", Contacts/Locations
NCT04276896,3,"March 17, 2020",Sponsor/Collaborators
NCT04343794,1,"April 9, 2020",None (earliest Version on record)
NCT04343794,2,"April 13, 2020",Recruitment Status
NCT04343794,2,"April 13, 2020", Study Status
NCT04343794,2,"April 13, 2020", Contacts/Locations
NCT04343794,2,"April 13, 2020",Oversight
NCT04280705,1,"February 20, 2020",None (earliest Version on record)
NCT04280705,2,"February 21, 2020",Recruitment Status
NCT04280705,2,"February 21, 2020", Study Status
NCT04280705,2,"February 21, 2020", Contacts/Locations
NCT04280705,2,"February 21, 2020",Oversight
NCT04280705,3,"February 27, 2020",Study Status
NCT04280705,3,"February 27, 2020",Contacts/Locations
NCT04280705,4,"March 3, 2020",Contacts/Locations
NCT04280705,4,"March 3, 2020",Study Status
NCT04280705,5,"March 5, 2020",Contacts/Locations
NCT04280705,5,"March 5, 2020",Study Status
NCT04280705,6,"March 6, 2020",Contacts/Locations
NCT04280705,6,"March 6, 2020",Study Status
NCT04280705,7,"March 12, 2020",Contacts/Locations
NCT04280705,7,"March 12, 2020",Study Status
NCT04280705,8,"March 18, 2020",Contacts/Locations
NCT04280705,8,"March 18, 2020",Study Status
NCT04280705,9,"March 19, 2020",Contacts/Locations
NCT04280705,9,"March 19, 2020",Study Status
NCT04280705,10,"March 20, 2020",Outcome Measures
NCT04280705,10,"March 20, 2020", Contacts/Locations
NCT04280705,10,"March 20, 2020", Study Design
NCT04280705,10,"March 20, 2020", Study Description
NCT04280705,10,"March 20, 2020", Eligibility
NCT04280705,10,"March 20, 2020", Arms
NCT04280705,10,"March 20, 2020",Interventions
NCT04280705,10,"March 20, 2020", Study Status
NCT04280705,10,"March 20, 2020",Study Identification
NCT04280705,11,"March 24, 2020",Contacts/Locations
NCT04280705,11,"March 24, 2020",Study Status
NCT04280705,12,"March 24, 2020",Contacts/Locations
NCT04280705,12,"March 24, 2020",Study Status
NCT04280705,13,"March 26, 2020",Contacts/Locations
NCT04280705,13,"March 26, 2020",Study Status
NCT04280705,14,"April 2, 2020",Contacts/Locations
NCT04280705,14,"April 2, 2020",Study Status
NCT04280705,15,"April 16, 2020",Contacts/Locations
NCT04280705,15,"April 16, 2020", Outcome Measures
NCT04280705,15,"April 16, 2020", Arms
NCT04280705,15,"April 16, 2020",Interventions
NCT04280705,15,"April 16, 2020", Study Description
NCT04280705,15,"April 16, 2020", Study Status
NCT04280705,15,"April 16, 2020", Eligibility
NCT04280705,15,"April 16, 2020",Study Design
NCT04280705,16,"April 23, 2020",Contacts/Locations
NCT04280705,16,"April 23, 2020", Study Status
NCT04280705,16,"April 23, 2020", Arms
NCT04280705,16,"April 23, 2020",Interventions
NCT04280705,16,"April 23, 2020",Study Design
NCT04280705,17,"April 30, 2020",Conditions
NCT04280705,17,"April 30, 2020",Study Status
NCT04280705,18,"May 6, 2020",Contacts/Locations
NCT04280705,18,"May 6, 2020",Study Status
NCT04280588,1,"February 20, 2020",None (earliest Version on record)
NCT04283461,1,"February 21, 2020",None (earliest Version on record)
NCT04283461,2,"February 27, 2020",Study Status
NCT04283461,3,"March 3, 2020",Study Status
NCT04283461,3,"March 3, 2020",Study Identification
NCT04283461,4,"March 5, 2020",Recruitment Status
NCT04283461,4,"March 5, 2020", Study Status
NCT04283461,4,"March 5, 2020", Contacts/Locations
NCT04283461,4,"March 5, 2020", Conditions
NCT04283461,4,"March 5, 2020",Oversight
NCT04283461,5,"March 12, 2020",Contacts/Locations
NCT04283461,5,"March 12, 2020",Study Status
NCT04283461,6,"March 19, 2020",Contacts/Locations
NCT04283461,6,"March 19, 2020",Study Status
NCT04283461,7,"March 26, 2020",Contacts/Locations
NCT04283461,7,"March 26, 2020", Conditions
NCT04283461,7,"March 26, 2020", Study Description
NCT04283461,7,"March 26, 2020", Eligibility
NCT04283461,7,"March 26, 2020", Study Status
NCT04283461,7,"March 26, 2020",Study Identification
NCT04283461,8,"April 9, 2020",Conditions
NCT04283461,8,"April 9, 2020", Study Status
NCT04283461,8,"April 9, 2020",Study Identification
NCT04283461,9,"April 30, 2020",Study Status
NCT04283461,9,"April 30, 2020", Eligibility
NCT04283461,9,"April 30, 2020", Arms
NCT04283461,9,"April 30, 2020",Interventions
NCT04283461,9,"April 30, 2020", Conditions
NCT04283461,9,"April 30, 2020", Study Description
NCT04283461,9,"April 30, 2020", Contacts/Locations
NCT04283461,9,"April 30, 2020", Study Design
NCT04283461,9,"April 30, 2020",Study Identification
NCT04283461,10,"May 28, 2020",Study Status
NCT04283461,10,"May 28, 2020", Arms
NCT04283461,10,"May 28, 2020",Interventions
NCT04283461,10,"May 28, 2020", Study Description
NCT04283461,10,"May 28, 2020", Eligibility
NCT04283461,10,"May 28, 2020",Study Design
NCT04288102,1,"February 25, 2020",None (earliest Version on record)
NCT04288102,2,"March 6, 2020",Recruitment Status
NCT04288102,2,"March 6, 2020", Study Status
NCT04288102,2,"March 6, 2020", Contacts/Locations
NCT04288102,2,"March 6, 2020", Arms
NCT04288102,2,"March 6, 2020",Interventions
NCT04288102,2,"March 6, 2020", Study Design
NCT04288102,2,"March 6, 2020",Study Description
NCT04288102,3,"March 19, 2020",Outcome Measures
NCT04288102,3,"March 19, 2020", Eligibility
NCT04288102,3,"March 19, 2020", Contacts/Locations
NCT04288102,3,"March 19, 2020", Study Design
NCT04288102,3,"March 19, 2020", Study Description
NCT04288102,3,"March 19, 2020", Sponsor/Collaborators
NCT04288102,3,"March 19, 2020",Study Status
NCT04288102,4,"April 5, 2020",Sponsor/Collaborators
NCT04288102,4,"April 5, 2020", Study Status
NCT04288102,4,"April 5, 2020", Outcome Measures
NCT04288102,4,"April 5, 2020", Study Design
NCT04288102,4,"April 5, 2020", Study Description
NCT04288102,4,"April 5, 2020", Oversight
NCT04288102,4,"April 5, 2020",Study Identification
NCT04291729,1,"February 28, 2020",None (earliest Version on record)
NCT04291729,2,"March 4, 2020",Arms
NCT04291729,2,"March 4, 2020",Interventions
NCT04291729,2,"March 4, 2020", Study Identification
NCT04291729,2,"March 4, 2020", Outcome Measures
NCT04291729,2,"March 4, 2020",Study Status
NCT04291729,3,"March 20, 2020",Recruitment Status
NCT04291729,3,"March 20, 2020", Study Status
NCT04291729,3,"March 20, 2020", Arms
NCT04291729,3,"March 20, 2020",Interventions
NCT04291729,3,"March 20, 2020", Study Design
NCT04291729,3,"March 20, 2020", Contacts/Locations
NCT04291729,3,"March 20, 2020", Outcome Measures
NCT04291729,3,"March 20, 2020",Study Identification
NCT04291729,4,"April 9, 2020",Study Description
NCT04291729,4,"April 9, 2020", Study Identification
NCT04291729,4,"April 9, 2020", Conditions
NCT04291729,4,"April 9, 2020",Study Status
NCT04292730,1,"February 28, 2020",None (earliest Version on record)
NCT04292730,2,"March 10, 2020",Recruitment Status
NCT04292730,2,"March 10, 2020", Study Status
NCT04292730,2,"March 10, 2020", Contacts/Locations
NCT04292730,2,"March 10, 2020",Oversight
NCT04292730,3,"March 13, 2020",Contacts/Locations
NCT04292730,3,"March 13, 2020",Study Status
NCT04292730,4,"March 17, 2020",Study Status
