nct_id,version,Date,Changes
NCT04314271,1,"March 16, 2020",None (earliest Version on record)
NCT04318314,1,"March 19, 2020",None (earliest Version on record)
NCT04318314,2,"March 25, 2020",Contacts/Locations
NCT04318314,2,"March 25, 2020",Study Status
NCT04318314,3,"May 20, 2020",Study Status
NCT04318314,3,"May 20, 2020",Contacts/Locations
NCT04315870,1,"March 19, 2020",None (earliest Version on record)
NCT04323592,1,"March 24, 2020",None (earliest Version on record)
NCT04323592,2,"March 25, 2020",Study Status
NCT04323592,NA,Results Submission Events,Results Submission Events
NCT04323592,3,"May 28, 2020",Recruitment Status
NCT04323592,3,"May 28, 2020", Study Design
NCT04323592,3,"May 28, 2020", Study Status
NCT04323592,3,"May 28, 2020", Documents
NCT04323592,3,"May 28, 2020", Outcome Measures
NCT04323592,3,"May 28, 2020", Groups
NCT04323592,3,"May 28, 2020",Interventions
NCT04323592,3,"May 28, 2020", Contacts/Locations
NCT04323592,3,"May 28, 2020", Eligibility
NCT04323592,3,"May 28, 2020", Study Description
NCT04323592,3,"May 28, 2020", Oversight
NCT04323592,3,"May 28, 2020", Results
NCT04323592,3,"May 28, 2020", References
NCT04323592,3,"May 28, 2020",Study Identification
NCT04323592,4,"June 13, 2020",Documents
NCT04323592,4,"June 13, 2020", Study Status
NCT04323592,4,"June 13, 2020", More Information
NCT04323592,4,"June 13, 2020", Outcome Measures
NCT04323592,5,"June 17, 2020",Documents
NCT04323592,5,"June 17, 2020", More Information
NCT04323592,5,"June 17, 2020",Study Status
NCT04323592,6,"June 23, 2020",More Information
NCT04323592,6,"June 23, 2020", Study Description
NCT04323592,6,"June 23, 2020",Study Status
NCT04319016,1,"March 23, 2020",None (earliest Version on record)
NCT04319016,2,"March 30, 2020",Oversight
NCT04319016,2,"March 30, 2020", Study Status
NCT04319016,2,"March 30, 2020",Study Identification
NCT04319016,3,"April 8, 2020",Study Status
NCT04319016,4,"April 25, 2020",Study Design
NCT04319016,4,"April 25, 2020",Study Status
NCT04320472,1,"March 22, 2020",None (earliest Version on record)
NCT04320472,2,"March 24, 2020",Contacts/Locations
NCT04320472,2,"March 24, 2020", Study Status
NCT04320472,2,"March 24, 2020", Study Description
NCT04320472,2,"March 24, 2020",Study Identification
