nct_id,version,Date,Changes
NCT04276896,1,"February 17, 2020",None (earliest Version on record)
NCT04276896,2,"February 28, 2020",Arms
NCT04276896,2,"February 28, 2020",Interventions
NCT04276896,2,"February 28, 2020", Conditions
NCT04276896,2,"February 28, 2020", Study Description
NCT04276896,2,"February 28, 2020", Study Identification
NCT04276896,2,"February 28, 2020", Eligibility
NCT04276896,2,"February 28, 2020",Study Status
NCT04276896,3,"March 17, 2020",Study Status
NCT04276896,3,"March 17, 2020", Contacts/Locations
NCT04276896,3,"March 17, 2020",Sponsor/Collaborators
NCT04283461,1,"February 21, 2020",None (earliest Version on record)
NCT04283461,2,"February 27, 2020",Study Status
NCT04283461,3,"March 3, 2020",Study Status
NCT04283461,3,"March 3, 2020",Study Identification
NCT04283461,4,"March 5, 2020",Recruitment Status
NCT04283461,4,"March 5, 2020", Study Status
NCT04283461,4,"March 5, 2020", Contacts/Locations
NCT04283461,4,"March 5, 2020", Conditions
NCT04283461,4,"March 5, 2020",Oversight
NCT04283461,5,"March 12, 2020",Contacts/Locations
NCT04283461,5,"March 12, 2020",Study Status
NCT04283461,6,"March 19, 2020",Contacts/Locations
NCT04283461,6,"March 19, 2020",Study Status
NCT04283461,7,"March 26, 2020",Contacts/Locations
NCT04283461,7,"March 26, 2020", Conditions
NCT04283461,7,"March 26, 2020", Study Description
NCT04283461,7,"March 26, 2020", Eligibility
NCT04283461,7,"March 26, 2020", Study Status
NCT04283461,7,"March 26, 2020",Study Identification
NCT04283461,8,"April 9, 2020",Conditions
NCT04283461,8,"April 9, 2020", Study Status
NCT04283461,8,"April 9, 2020",Study Identification
NCT04283461,9,"April 30, 2020",Study Status
NCT04283461,9,"April 30, 2020", Eligibility
NCT04283461,9,"April 30, 2020", Arms
NCT04283461,9,"April 30, 2020",Interventions
NCT04283461,9,"April 30, 2020", Conditions
NCT04283461,9,"April 30, 2020", Study Description
NCT04283461,9,"April 30, 2020", Contacts/Locations
NCT04283461,9,"April 30, 2020", Study Design
