Change Type,Count_of_Changes,Count_of_Studies,ratio
Study Status,64,22,2.909090909090909
Contacts/Locations,35,20,1.75
None (earliest Version on record),26,26,1
Recruitment Status,21,16,1.3125
Study Design,16,7,2.2857142857142856
Study Identification,16,11,1.4545454545454546
Arms,15,9,1.6666666666666667
Interventions,15,9,1.6666666666666667
Eligibility,12,6,2
Study Description,12,7,1.7142857142857142
Outcome Measures,9,7,1.2857142857142858
Oversight,9,9,1
Conditions,5,2,2.5
Sponsor/Collaborators,4,4,1
IPDSharing,2,2,1
References,1,1,1
